Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,87.55,-88.8,-90.0,top
J11,Conn_SUR1,JST_SUR_BM02B-SURS-TF_1x02-1MP_P0.80mm_Vertical,131.3,-97.45,90.0,top
J13,Conn_SUR2,JST_SUR_BM02B-SURS-TF_1x02-1MP_P0.80mm_Vertical,131.45,-105.9,90.0,top
J14,Conn_SUR3,JST_SUR_BM02B-SURS-TF_1x02-1MP_P0.80mm_Vertical,131.3,-114.5,90.0,top
R1,33,R_0402_1005Metric,89.525,-86.79,0.0,top
U1,ULN2003A,SOP-16_3.9x9.9mm_P1.27mm,129.4,-84.15,270.0,top
U3,74LVC1G17,74LVC1G17GW_125,89.85,-88.65,0.0,top
